region,province,confirmed,deaths,recovered
BARMM,BASILAN,115,0,78
BARMM,LANAO DEL SUR,201,3,116
BARMM,MAGUINDANAO,142,0,107
BARMM,SULU,22,2,11
BARMM,TAWI-TAWI,9,0,0
CAR,ABRA,58,1,16
CAR,APAYAO,29,0,18
CAR,BENGUET,289,3,115
CAR,IFUGAO,21,0,10
CAR,KALINGA,39,0,11
CAR,MOUNTAIN PROVINCE,13,0,5
CARAGA,AGUSAN DEL NORTE,128,2,33
CARAGA,AGUSAN DEL SUR,48,0,13
CARAGA,DINAGAT ISLANDS,2,0,0
CARAGA,SURIGAO DEL NORTE,78,0,37
CARAGA,SURIGAO DEL SUR,48,0,13
NCR,NCR,66770,1076,29107
REPATRIATE,ABRA,5,0,2
REPATRIATE,AGUSAN DEL NORTE,56,0,46
REPATRIATE,AGUSAN DEL SUR,17,0,12
REPATRIATE,AKLAN,14,0,7
REPATRIATE,ALBAY,22,0,13
REPATRIATE,ANTIQUE,15,0,11
REPATRIATE,APAYAO,2,0,0
REPATRIATE,AURORA,1,0,1
REPATRIATE,BASILAN,13,0,8
REPATRIATE,BATAAN,47,0,33
REPATRIATE,BATANGAS,131,0,85
REPATRIATE,BENGUET,23,0,11
REPATRIATE,BILIRAN,6,0,4
REPATRIATE,BOHOL,35,0,20
REPATRIATE,BUKIDNON,21,0,11
REPATRIATE,BULACAN,101,0,67
REPATRIATE,CAGAYAN,26,0,18
REPATRIATE,CAMARINES NORTE,3,0,1
REPATRIATE,CAMARINES SUR,25,0,14
REPATRIATE,CAPIZ,38,0,20
REPATRIATE,CATANDUANES,5,0,3
REPATRIATE,CAVITE,171,3,87
REPATRIATE,CEBU,156,1,111
REPATRIATE,CITY OF ISABELA (NOT A PROVINCE),2,0,2
REPATRIATE,COTABATO (NORTH COTABATO),20,0,9
REPATRIATE,COTABATO CITY (NOT A PROVINCE),7,0,7
REPATRIATE,DAVAO DE ORO,24,0,15
REPATRIATE,DAVAO DEL NORTE,54,0,41
REPATRIATE,DAVAO DEL SUR,107,1,86
REPATRIATE,DAVAO OCCIDENTAL,1,0,0
REPATRIATE,DAVAO ORIENTAL,31,0,24
REPATRIATE,EASTERN SAMAR,3,0,3
REPATRIATE,GUIMARAS,12,0,6
REPATRIATE,IFUGAO,4,0,2
REPATRIATE,ILOCOS NORTE,13,0,6
REPATRIATE,ILOCOS SUR,9,0,6
REPATRIATE,ILOILO,211,1,112
REPATRIATE,ISABELA,47,0,32
REPATRIATE,KALINGA,6,0,4
REPATRIATE,LA UNION,20,0,10
REPATRIATE,LAGUNA,84,0,54
REPATRIATE,LANAO DEL NORTE,48,0,32
REPATRIATE,LANAO DEL SUR,9,0,5
REPATRIATE,LEYTE,62,0,49
REPATRIATE,MAGUINDANAO,13,0,8
REPATRIATE,MARINDUQUE,1,0,1
REPATRIATE,MASBATE,6,0,3
REPATRIATE,MISAMIS OCCIDENTAL,22,0,10
REPATRIATE,MISAMIS ORIENTAL,73,0,31
REPATRIATE,NCR,1384,9,696
REPATRIATE,NEGROS OCCIDENTAL,287,0,89
REPATRIATE,NEGROS ORIENTAL,10,0,9
REPATRIATE,NORTHERN SAMAR,3,0,1
REPATRIATE,NUEVA ECIJA,47,0,25
REPATRIATE,NUEVA VIZCAYA,8,0,7
REPATRIATE,OCCIDENTAL MINDORO,5,0,4
REPATRIATE,ORIENTAL MINDORO,17,0,9
REPATRIATE,PALAWAN,17,0,8
REPATRIATE,PAMPANGA,57,0,30
REPATRIATE,PANGASINAN,64,0,39
REPATRIATE,QUEZON,35,0,19
REPATRIATE,QUIRINO,3,0,2
REPATRIATE,RIZAL,99,0,65
