region,confirmed,deaths,recovered
BARMM,11,0,0
CAR,47,0,0
CARAGA,5,0,0
NCR,9721,0,0
Region I: Ilocos Region,66,0,0
Region II: Cagayan Valley,34,0,0
Region III: Central Luzon,509,0,0
Region IV-A: CALABARZON,1555,0,0
Region IV-B: MIMAROPA,37,0,0
Region IX: Zamboanga Peninsula,153,0,0
Region V: Bicol Region,71,0,0
Region VI: Western Visayas,107,0,0
Region VII: Central Visayas,2018,0,0
Region VIII: Eastern Visayas,28,0,0
Region X: Northern Mindanao,25,0,0
Region XI: Davao Region,257,0,0
Region XII: SOCCSKSARGEN,24,0,0
Repatriate,223,0,0
